#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   164   0.103909E-08  -0.876414E-11   0.436854E-10  -0.876414E-11   0.157522E-12  -0.152464E-12   0.436854E-10  -0.152464E-12   0.540151E-08
   165   0.104669E-08  -0.881615E-11   0.433733E-10  -0.881615E-11   0.157960E-12  -0.158810E-12   0.433733E-10  -0.158810E-12   0.529012E-08
   166   0.105427E-08  -0.886588E-11   0.430629E-10  -0.886588E-11   0.158353E-12  -0.165327E-12   0.430629E-10  -0.165327E-12   0.518108E-08
   167   0.106182E-08  -0.891327E-11   0.427543E-10  -0.891327E-11   0.158702E-12  -0.171926E-12   0.427543E-10  -0.171926E-12   0.507435E-08
   168   0.106936E-08  -0.895831E-11   0.424474E-10  -0.895831E-11   0.159008E-12  -0.178518E-12   0.424474E-10  -0.178518E-12   0.496988E-08
   169   0.107687E-08  -0.900096E-11   0.421423E-10  -0.900096E-11   0.159269E-12  -0.185013E-12   0.421423E-10  -0.185013E-12   0.486763E-08
   170   0.108435E-08  -0.904117E-11   0.418391E-10  -0.904117E-11   0.159487E-12  -0.191322E-12   0.418391E-10  -0.191322E-12   0.476756E-08
   171   0.109182E-08  -0.907891E-11   0.415377E-10  -0.907891E-11   0.159662E-12  -0.197357E-12   0.415377E-10  -0.197357E-12   0.466963E-08
   172   0.109925E-08  -0.911415E-11   0.412383E-10  -0.911415E-11   0.159794E-12  -0.203027E-12   0.412383E-10  -0.203027E-12   0.457379E-08
   173   0.110666E-08  -0.914685E-11   0.409407E-10  -0.914685E-11   0.159885E-12  -0.208245E-12   0.409407E-10  -0.208245E-12   0.447999E-08
   174   0.111404E-08  -0.917699E-11   0.406451E-10  -0.917699E-11   0.159934E-12  -0.212919E-12   0.406451E-10  -0.212919E-12   0.438820E-08
   175   0.112139E-08  -0.920456E-11   0.403514E-10  -0.920456E-11   0.159944E-12  -0.216962E-12   0.403514E-10  -0.216962E-12   0.429838E-08
   176   0.112871E-08  -0.922952E-11   0.400598E-10  -0.922952E-11   0.159914E-12  -0.220305E-12   0.400598E-10  -0.220305E-12   0.421047E-08
   177   0.113601E-08  -0.925181E-11   0.397701E-10  -0.925181E-11   0.159844E-12  -0.222960E-12   0.397701E-10  -0.222960E-12   0.412445E-08
   178   0.114326E-08  -0.927139E-11   0.394823E-10  -0.927139E-11   0.159734E-12  -0.224960E-12   0.394823E-10  -0.224960E-12   0.404029E-08
